state,date,ML,Low_90,High_90,Low_50,High_50
AK,2020-03-26,2.2800000000000002,0.0,4.74,1.07,3.31
AK,2020-03-27,1.8900000000000001,0.04,3.65,1.01,2.68
AK,2020-03-28,1.56,0.02,3.0100000000000002,0.78,2.16
AK,2020-03-29,1.3800000000000001,0.01,2.67,0.6,1.83
AK,2020-03-30,1.1300000000000001,0.0,2.36,0.53,1.62
AK,2020-03-31,1.08,0.01,2.25,0.43,1.47
AK,2020-04-01,0.92,0.0,2.08,0.31,1.28
AK,2020-04-02,1.02,0.0,2.11,0.46,1.43
AK,2020-04-03,1.0,0.0,2.06,0.41000000000000003,1.36
AK,2020-04-04,1.08,0.03,2.11,0.51,1.46
AK,2020-04-05,1.05,0.0,2.04,0.49,1.42
AK,2020-04-06,1.02,0.0,2.0,0.52,1.43
AK,2020-04-07,1.0,0.0,1.97,0.46,1.36
AK,2020-04-08,0.98,0.0,1.94,0.44,1.33
AK,2020-04-09,0.87,0.0,1.86,0.34,1.2
AK,2020-04-10,0.85,0.0,1.85,0.31,1.17
AK,2020-04-11,0.75,0.0,1.79,0.25,1.08
AK,2020-04-12,0.65,0.0,1.73,0.21,1.01
AK,2020-04-13,0.5700000000000001,0.0,1.69,0.19,0.96
AK,2020-04-14,0.52,0.0,1.6500000000000001,0.13,0.88
AK,2020-04-15,0.53,0.0,1.68,0.15,0.91
AK,2020-04-16,0.49,0.0,1.6400000000000001,0.11,0.85
AK,2020-04-17,0.51,0.0,1.67,0.14,0.89
AK,2020-04-18,0.47000000000000003,0.0,1.6300000000000001,0.1,0.8300000000000001
AK,2020-04-19,0.49,0.0,1.67,0.15,0.89
AK,2020-04-20,0.46,0.0,1.6300000000000001,0.11,0.8300000000000001
AK,2020-04-21,0.47000000000000003,0.0,1.67,0.1,0.84
AK,2020-04-22,0.49,0.0,1.7,0.15,0.9
AK,2020-04-23,0.5,0.0,1.73,0.12,0.89
AL,2020-03-22,2.5100000000000002,0.42,4.24,1.58,3.22
AL,2020-03-23,3.5100000000000002,2.12,4.73,2.92,3.99
AL,2020-03-24,3.45,2.42,4.37,3.0,3.8000000000000003
AL,2020-03-25,3.16,2.29,3.89,2.75,3.41
AL,2020-03-26,2.8000000000000003,2.07,3.46,2.48,3.0500000000000003
AL,2020-03-27,2.23,1.55,2.83,1.9000000000000001,2.43
AL,2020-03-28,1.77,1.1,2.34,1.46,1.97
AL,2020-03-29,1.42,0.77,2.0,1.1,1.61
AL,2020-03-30,1.19,0.53,1.77,0.89,1.4000000000000001
AL,2020-03-31,1.3800000000000001,0.73,1.97,1.08,1.59
